"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"2012-13 SURVEY 2 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,1302480,"INSTRU ENS 3",2
01,ALACHUA,1302490,"INSTRU ENS 4 HON",1
01,ALACHUA,1302500,"JAZZ ENS 1",27
01,ALACHUA,1302510,"JAZZ ENS 2",6
01,ALACHUA,1302520,"JAZZ ENS 3",3
01,ALACHUA,1302530,"JAZZ ENS 4 HON",2
01,ALACHUA,1303000,"M/J CHORUS 1",122
01,ALACHUA,1303300,"CHORUS 1",68
01,ALACHUA,1303310,"CHORUS 2",19
01,ALACHUA,1303320,"CHORUS 3",1
01,ALACHUA,1303330,"CHORUS 4",2
01,ALACHUA,1303440,"VOCAL ENS 1",18
01,ALACHUA,1303450,"VOCAL ENS 2",4
01,ALACHUA,1303460,"VOCAL ENS 3",3
01,ALACHUA,1303470,"VOCAL ENS 4 HON",2
01,ALACHUA,1305300,"EURHY 1",6
01,ALACHUA,1305310,"EURHY 2",3
01,ALACHUA,1400000,"M/J PEER COUN 1",6
01,ALACHUA,1400300,"PEER COUN 1",276
01,ALACHUA,1400310,"PEER COUN 2",11
01,ALACHUA,1400320,"PEER COUN 3",11
01,ALACHUA,1501000,"M/J PHYS FIT",103
01,ALACHUA,1501025,"M/J THROW/CATCH&CAR",17
01,ALACHUA,1501100,"M/J COMPRE PE 1",867
01,ALACHUA,1501110,"M/J COMPRE PE 2",795
01,ALACHUA,1501120,"M/J COMPRE PE 3",760
01,ALACHUA,1501300,"PERS FIT",172
01,ALACHUA,1501310,"FIT LIFST DESIGN",19
01,ALACHUA,1501340,"WEIGHT TRAIN 1",273
01,ALACHUA,1501350,"WEIGHT TRAIN 2",65
01,ALACHUA,1501360,"WEIGHT TRAIN 3",38
01,ALACHUA,1502410,"INDIV/DUAL SPRTS 1",43
01,ALACHUA,1502430,"INDIV/DUAL SPRTS 3",15
01,ALACHUA,1502470,REC,26
01,ALACHUA,1503300,"TRACK & FIELD",32
01,ALACHUA,1503310,BASKETBALL,200
01,ALACHUA,1503350,"TEAM SPRTS 1",312
01,ALACHUA,1503360,"TEAM SPRTS 2",26
01,ALACHUA,1505500,"VOLLEYBALL 1",63
01,ALACHUA,1505510,"VOLLEYBALL 2",9
01,ALACHUA,1505520,"VOLLEYBALL 3",1
01,ALACHUA,1506320,"HOPE-PE V",766
01,ALACHUA,1700000,"M/J RESEARCH 1",260
01,ALACHUA,1700010,"M/J RESEARCH 2",238
01,ALACHUA,1700020,"M/J RESEARCH 3",118
01,ALACHUA,1700100,"M/J CRIT THINK",298
01,ALACHUA,1700300,"RESEARCH 1",64
01,ALACHUA,1700310,"RESEARCH 2",8
01,ALACHUA,1700320,"RESEARCH 3",10
01,ALACHUA,1700364,"AICE GLBL PERSP 1 AS",16
01,ALACHUA,1700370,"CRIT THINK ST SKLS",145
01,ALACHUA,1700374,"AICE THINK SKLS 2 AL",70
01,ALACHUA,1800300,"AERO SCI 1",62
01,ALACHUA,1800310,"AERO SCI 2",36
01,ALACHUA,1800320,"AERO SCI 3",28
01,ALACHUA,1800330,"AERO SCI 4",13
01,ALACHUA,1800360,"AERO SCI 4",2
01,ALACHUA,1802300,"NAVAL SCI 1",103
01,ALACHUA,1802310,"NAVAL SCI 2",65
01,ALACHUA,1802320,"NAVAL SCI 3",34
01,ALACHUA,1802330,"NAVAL SCI 4",23
01,ALACHUA,1900300,"DRIVER ED CLASS",30
01,ALACHUA,1900310,"DRIVER ED CLASS/LAB",266
01,ALACHUA,2000010,"M/J LIF SCI",1339
01,ALACHUA,2000020,"M/J LIF SCI ADV",603
01,ALACHUA,2000310,"BIO 1",1049
01,ALACHUA,2000320,"BIO 1 HON",626
01,ALACHUA,2000321,"AICE BIO 1 AS",25
01,ALACHUA,2000322,"PRE-AICE BIO IG",113
01,ALACHUA,2000323,"AICE BIO 2 AL",2
01,ALACHUA,2000330,"BIO 2 HON",9
01,ALACHUA,2000340,"ADV PL BIO",214
01,ALACHUA,2000350,"ANAT PHYSIO",364
01,ALACHUA,2000360,"ANAT PHYSIO HON",413
01,ALACHUA,2000800,"BIO 1-FL PRE-IB",141
01,ALACHUA,2000820,"BIO 3-IB",68
01,ALACHUA,2001010,"M/J ERTH/SPA SCI",1255
01,ALACHUA,2001020,"M/J ERTH/SPA SCI ADV",553
01,ALACHUA,2001310,"ERTH/SPA SCI",12
01,ALACHUA,2001320,"ERTH/SPA SCI HON",128
01,ALACHUA,2001340,"ENV SCI",362
01,ALACHUA,2001380,"ADV PL ENV SCI",358
