"Students Absent 21 or More Days by School
2015-16, Final Survey 5",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"District #","District Name","School #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
5,BREVARD,2131,"COLUMBIA ELEMENTARY SCHOOL",689,64,"0,09288824383"
5,BREVARD,2151,"DISCOVERY ELEMENTARY SCHOOL",734,48,"0,06539509536"
5,BREVARD,2161,"CHRISTA MCAULIFFE ELEMENTARY SCHOOL",848,50,"0,05896226415"
5,BREVARD,2171,"RIVIERA ELEMENTARY SCHOOL",805,65,"0,08074534161"
5,BREVARD,2191,"JUPITER ELEMENTARY SCHOOL",937,89,"0,09498399146"
5,BREVARD,2211,"BAYSIDE HIGH SCHOOL",1804,180,"0,0997782705"
5,BREVARD,2212,"WESTSIDE ELEMENTARY SCHOOL",784,42,"0,05357142857"
5,BREVARD,2221,"SUNRISE ELEMENTARY SCHOOL",948,90,"0,09493670886"
5,BREVARD,2311,"HERITAGE HIGH SCHOOL",2002,207,"0,10339660339"
5,BREVARD,3011,"EAU GALLIE HIGH SCHOOL",1844,168,"0,09110629067"
5,BREVARD,3021,"CENTRAL MIDDLE SCHOOL",1248,133,"0,10657051282"
5,BREVARD,3031,"LYNDON B. JOHNSON MIDDLE SCHOOL",856,63,"0,07359813084"
5,BREVARD,3041,"SHERWOOD ELEMENTARY SCHOOL",567,26,"0,04585537918"
5,BREVARD,3061,"HARBOR CITY ELEMENTARY SCHOOL",512,47,"0,091796875"
5,BREVARD,3071,"SABAL ELEMENTARY SCHOOL",657,40,"0,0608828006"
5,BREVARD,3091,"CROTON ELEMENTARY SCHOOL",736,50,"0,0679347826"
5,BREVARD,3101,"ROY ALLEN ELEMENTARY SCHOOL",685,27,"0,03941605839"
5,BREVARD,3121,"SUNTREE ELEMENTARY SCHOOL",692,16,"0,02312138728"
5,BREVARD,3131,"LONGLEAF ELEMENTARY SCHOOL",673,27,"0,04011887072"
5,BREVARD,3141,"WESTSHORE JUNIOR/SENIOR HIGH SCHOOL",963,14,"0,01453790238"
5,BREVARD,3151,"QUEST ELEMENTARY SCHOOL",918,28,"0,03050108932"
5,BREVARD,4011,"MERRITT ISLAND HIGH SCHOOL",1631,103,"0,06315144083"
5,BREVARD,4021,"EDGEWOOD JR/SR HIGH SCHOOL",957,16,"0,01671891327"
5,BREVARD,4031,"MILA ELEMENTARY SCHOOL",595,49,"0,08235294117"
