"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,1001550,"AICE ENG LANG AS",89
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",100
01,ALACHUA,1001800,"FL PRE-IB ENG 1",144
01,ALACHUA,1001830,"IB ENGLISH LIT 4",118
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",13
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",25
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",14
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",21
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",24
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",15
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",92
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",4
01,ALACHUA,1005375,"AICE ENG LIT 2 AL",89
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",116
01,ALACHUA,1006000,"M/J JOURN 1",33
01,ALACHUA,1006300,"JOURN 1",134
01,ALACHUA,1006310,"JOURN 2",18
01,ALACHUA,1006320,"JOURN 3",10
01,ALACHUA,1006330,"JOURN 4",1
01,ALACHUA,1006375,"SOCIAL MEDIA 1",41
01,ALACHUA,1007330,"DEBATE 1",71
01,ALACHUA,1007350,"DEBATE 3 HON",6
01,ALACHUA,1008010,"M/J READ 1",852
01,ALACHUA,1008020,"M/J READ 1 ADV",352
01,ALACHUA,1008040,"M/J READ 2",927
01,ALACHUA,1008050,"M/J READ 2 ADV",295
01,ALACHUA,1008070,"M/J READ 3",1017
01,ALACHUA,1008080,"M/J READ 3 ADV",217
01,ALACHUA,1008300,"READ 1",326
01,ALACHUA,1008310,"READ 2",355
01,ALACHUA,1008320,"READ HON",62
01,ALACHUA,1008330,"READ 3",338
01,ALACHUA,1008350,"READ COLL. SUCCESS",147
01,ALACHUA,1009320,"CREATIVE WRIT 1",19
01,ALACHUA,1009370,"WRTNG COLL. SUCCESS",3
01,ALACHUA,1200310,"ALG 1",1359
01,ALACHUA,1200320,"ALG 1 HON",953
01,ALACHUA,1200330,"ALG 2",629
01,ALACHUA,1200340,"ALG 2 HON",893
01,ALACHUA,1200370,"ALG 1-A",4
01,ALACHUA,1200380,"ALG 1-B",5
01,ALACHUA,1200400,"INTENS MATH",250
01,ALACHUA,1200410,"Math Coll. Success",1
01,ALACHUA,1200700,"Math Coll. Readiness",651
01,ALACHUA,1202300,"CALCULUS HON",21
01,ALACHUA,1202310,"AP CALCULUS AB",177
01,ALACHUA,1202320,"AP CALCULUS BC",103
01,ALACHUA,1202340,"PRE-CALCULUS HON",605
01,ALACHUA,1202352,"AICE MATH 1 AS",55
01,ALACHUA,1202375,"IB PRE-CALCULUS",107
01,ALACHUA,1202810,"IB CALCULUS/DESC STA",11
