,,,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by School",,,,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
"DIST #",DISTRICT,"SCHOOL #","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
4,BRADFORD,N998,"HOME EDUC PROGRAM STUDENT",*,*,*,*,*,*
4,,N999,"OUT OF STATE/NON-PUBLIC S",2262,0,2262,1,13,13
5,BREVARD,11,"TITUSVILLE HIGH SCHOOL",220867,10921,231788,"0,9528836695601153",1227,1288
5,BREVARD,51,"OAK PARK ELEMENTARY SCHOO",139296,9002,148298,"0,9392979001739741",774,824
5,BREVARD,52,"JAMES MADISON MIDDLE SCHO",85679,4549,90228,"0,9495832779181629",476,501
5,BREVARD,61,"APOLLO ELEMENTARY SCHOOL",136608,7423,144031,"0,9484624837708548",759,800
5,BREVARD,72,"RIVERVIEW SCHOOL",17627,2038,19665,"0,8963640986524282",98,109
5,BREVARD,73,"SOUTH AREA HEAD START",4859,700,5559,"0,8740780715956107",27,31
5,BREVARD,89,"FIELDSTON PREPARATORY SCH",8035,1335,9370,"0,8575240128068303",45,52
5,BREVARD,91,"COQUINA ELEMENTARY SCHOOL",96299,5288,101587,"0,9479460954649709",535,564
5,BREVARD,101,"MIMS ELEMENTARY SCHOOL",100314,6365,106679,"0,9403350237628774",557,593
5,BREVARD,141,"ANDREW JACKSON MIDDLE SCH",91369,5450,96819,"0,9437093958830395",508,538
5,BREVARD,151,"IMPERIAL ESTATES ELEM. SC",111126,5790,116916,"0,9504772657292415",617,650
5,BREVARD,161,"ASTRONAUT HIGH SCHOOL",192409,8373,200782,"0,9582980546064886",1069,1115
5,BREVARD,181,"PINEWOOD ELEMENTARY SCHOO",72040,4240,76280,"0,9444153120083901",400,424
5,BREVARD,191,"CHALLENGER 7 ELEMENTARY S",85232,4035,89267,"0,9547985257710015",474,496
5,BREVARD,201,"ATLANTIS ELEMENTARY SCHOO",97432,4624,102056,"0,9546915418985655",541,567
5,BREVARD,301,"ENTERPRISE ELEMENTARY SCH",98267,3925,102192,"0,9615919054329106",546,568
5,BREVARD,302,"SPACE COAST JR/SR HIGH SC",255368,11629,266997,"0,9564452035041592",1419,1483
5,BREVARD,1002,"CENTER FOR DRUG FREE LIVI",4886,6,4892,"0,9987735077677842",27,27
5,BREVARD,1011,"ROCKLEDGE SENIOR HIGH SCH",232322,10681,243003,"0,9560458101340312",1291,1350
5,BREVARD,1014,"BREVARD COUNTY JAIL COMPL",*,*,*,*,*,*
5,BREVARD,1017,"NORTH/CENTRAL AREA ALTERN",9713,2230,11943,"0,8132797454575902",54,66
5,BREVARD,1018,"SOUTH AREA ALTERNATIVE LE",10520,2000,12520,"0,8402555910543131",58,70
5,BREVARD,1020,"OUTWARD BOUND",*,*,*,*,*,*
5,BREVARD,1021,"ESE INFANTS AND TODDLERS",48341,6,48347,"0,9998758971601134",269,269
5,BREVARD,1025,"BREVARD COUNTY JUV.DET.CT",3047,724,3771,"0,8080084858127817",17,21
5,BREVARD,1026,"FRANCES WALKER HALFWAY HO",3897,1,3898,"0,9997434581836839",22,22
5,BREVARD,1027,"MELBOURNE CENTER FOR PERS",4361,2,4363,"0,9995415998166399",24,24
5,BREVARD,1028,"DEVEREUX HOSPITAL",8963,38,9001,"0,9957782468614599",50,50
5,BREVARD,1029,"RIVERDALE COUNTRY DAY SCH",15810,3473,19283,"0,819893170149873",88,107
5,BREVARD,1032,"HORACE MANN ACADEMY",15825,3490,19315,"0,8193114159979291",88,107
5,BREVARD,1041,"CAMBRIDGE ELEM MAGNET SCH",105980,5059,111039,"0,9544394311908428",589,617
5,BREVARD,1051,"ENDEAVOUR ELEMENTARY MAGN",138433,8643,147076,"0,9412344638146265",769,817
5,BREVARD,1071,"GOLFVIEW ELEMENTARY MAGNE",112881,4724,117605,"0,9598316398112325",627,653
5,BREVARD,1073,"PROJECT SEARCH",2678,0,2678,1,15,15
5,BREVARD,1081,"RONALD MCNAIR MAGNET MIDD",83535,3707,87242,"0,9575089979596983",464,485
5,BREVARD,1091,"FAIRGLEN ELEMENTARY SCHOO",123681,7504,131185,"0,9427983382246445",687,729
5,BREVARD,1101,"JOHN F. KENNEDY MIDDLE SC",107905,4645,112550,"0,9587294535761883",599,625
5,BREVARD,1121,"COCOA HIGH SCHOOL",243538,15845,259383,"0,938912727511055",1353,1441
5,BREVARD,1131,"SATURN ELEMENTARY SCHOOL",127038,7110,134148,"0,9469988371052867",706,745
5,BREVARD,1141,"HANS CHRISTIAN ANDERSEN E",129681,6380,136061,"0,9531092671669325",720,756
5,BREVARD,1151,"RALPH M WILLIAMS JR ELEME",94139,3822,97961,"0,9609844734128888",523,544
5,BREVARD,1161,"MANATEE ELEMENTARY",146814,4947,151761,"0,9674026923913258",816,843
5,BREVARD,1171,"VIERA HIGH SCHOOL",337668,15040,352708,"0,9573584948455947",1876,1959
5,BREVARD,2011,"MELBOURNE SENIOR HIGH SCH",341123,15819,356942,"0,9556818754867737",1895,1983
5,BREVARD,2021,"PALM BAY MAGNET SENIOR HI",258688,13985,272673,"0,9487114602472558",1437,1515
5,BREVARD,2031,"MEADOWLANE INTERMEDIATE E",152898,6937,159835,"0,9565989927112335",849,888
5,BREVARD,2041,"MEADOWLANE PRIMARY ELEMEN",134008,6231,140239,"0,9555687077061302",744,779
5,BREVARD,2042,"W. MELBOURNE ELEMENTARY S",94992,3792,98784,"0,9616132167152576",528,549
5,BREVARD,2051,"UNIVERSITY PARK ELEMENTAR",112847,7779,120626,"0,9355114154494056",627,670
5,BREVARD,2061,"PORT MALABAR ELEMENTARY S",129403,6548,135951,"0,951835587822083",719,755
5,BREVARD,2071,"STONE MAGNET MIDDLE SCHOO",137137,8069,145206,"0,9444306709089156",762,807
5,BREVARD,2081,"PALM BAY ELEMENTARY SCHOO",142825,8203,151028,"0,9456855682390021",793,839
5,BREVARD,2111,"LOCKMAR ELEMENTARY SCHOOL",130504,6690,137194,"0,9512369345598204",725,762
5,BREVARD,2121,"JOHN F. TURNER, SR. ELEME",122361,6629,128990,"0,9486084192573068",680,717
5,BREVARD,2122,"SOUTHWEST MIDDLE SCHOOL",162225,8727,170952,"0,9489505826196827",901,950
5,BREVARD,2131,"COLUMBIA ELEMENTARY SCHOO",103475,6045,109520,"0,9448046018991965",575,608
5,BREVARD,2151,"DISCOVERY ELEMENTARY SCHO",122504,6627,129131,"0,9486800226126957",681,717
5,BREVARD,2161,"CHRISTA MCAULIFFE ELEM. S",130618,5885,136503,"0,9568873944162399",726,758
5,BREVARD,2171,"RIVIERA ELEMENTARY SCHOOL",120933,7186,128119,"0,943911519758974",672,712
5,BREVARD,2191,"JUPITER ELEMENTARY SCHOOL",137643,7415,145058,"0,9488825159591336",765,806
5,BREVARD,2211,"BAYSIDE HIGH SCHOOL",269133,16531,285664,"0,9421313151114596",1495,1587
5,BREVARD,2212,"WESTSIDE ELEMENTARY SCHOO",136473,7097,143570,"0,9505676673399736",758,798
5,BREVARD,2221,"SUNRISE ELEMENTARY SCHOOL",125436,6742,132178,"0,9489930245577933",697,734
5,BREVARD,2311,"HERITAGE HIGH SCHOOL",300043,19292,319335,"0,9395869541390702",1667,1774
5,BREVARD,3011,"EAU GALLIE HIGH SCHOOL",278116,16096,294212,"0,9452911505988879",1545,1635
5,BREVARD,3021,"CENTRAL MIDDLE SCHOOL",215701,10877,226578,"0,9519944566551033",1198,1259
5,BREVARD,3031,"LYNDON B. JOHNSON MIDDLE",134518,8088,142606,"0,9432842937884801",747,792
5,BREVARD,3041,"SHERWOOD ELEMENTARY SCHOO",93074,4715,97789,"0,9517839429792717",517,543
5,BREVARD,3061,"HARBOR CITY ELEMENTARY SC",77693,4689,82382,"0,9430822267000073",432,458
5,BREVARD,3071,"SABAL ELEMENTARY SCHOOL",103336,5408,108744,"0,950268520562054",574,604
5,BREVARD,3091,"CROTON ELEMENTARY SCHOOL",114584,6288,120872,"0,9479780263419154",637,672
5,BREVARD,3101,"ROY ALLEN ELEMENTARY SCHO",102651,4669,107320,"0,9564945956019382",570,596
5,BREVARD,3121,"SUNTREE ELEMENTARY SCHOOL",107064,4593,111657,"0,9588650957844111",595,620
5,BREVARD,3131,"LONGLEAF ELEMENTARY SCHOO",105795,4796,110591,"0,9566329990686403",588,614
5,BREVARD,3141,"WEST SHORE JUNIOR/SENIOR",167302,4328,171630,"0,9747829633513955",929,954
5,BREVARD,3151,"QUEST ELEMENTARY SCHOOL",124489,5007,129496,"0,9613347130413294",692,719
5,BREVARD,4011,"MERRITT ISLAND HIGH SCHOO",255162,12290,267452,"0,9540478291431733",1418,1486
5,BREVARD,4021,"EDGEWOOD JR/SR HIGH SCHOO",162842,4581,167423,"0,9726381679936449",905,930
5,BREVARD,4031,"MILA ELEMENTARY SCHOOL",83534,4620,88154,"0,9475917144996256",464,490
5,BREVARD,4041,"TROPICAL ELEMENTARY SCHOO",115475,5877,121352,"0,9515706374843431",642,674
5,BREVARD,4051,"AUDUBON ELEMENTARY SCHOOL",113667,5707,119374,"0,9521922696734633",631,663
