"COURSE ENROLLMENTS",,,,
"2013-14 SURVEY 2 FINAL DATA ",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,114850,"IB ART STUDIO 2-A",10
01,ALACHUA,200320,"AP CPTR SCI A",47
01,ALACHUA,300400,"DANCE REPERT 1",60
01,ALACHUA,300410,"DANCE REPERT 2",30
01,ALACHUA,300420,"DANCE REPERT 3 HON",4
01,ALACHUA,400000,"M/J THEATRE 1",18
01,ALACHUA,400010,"M/J THEATRE 2",2
01,ALACHUA,400300,"INTROD DRAMA",72
01,ALACHUA,400310,"THEATRE 1",187
01,ALACHUA,400320,"THEATRE 2",65
01,ALACHUA,400330,"THEATRE 3 HON",36
01,ALACHUA,400340,"THEATRE 4 HON",9
01,ALACHUA,400370,"ACTING 1",18
01,ALACHUA,400410,"TECH THEA DES&PROD 1",37
01,ALACHUA,400420,"TECH THEA DES&PROD 2",13
01,ALACHUA,400430,"TECH THEA DES&PROD 3",4
01,ALACHUA,400440,"TECH THEA DES&PROD4H",2
01,ALACHUA,400810,"IB THEATRE 1",8
01,ALACHUA,400820,"IB THEATRE 2",9
01,ALACHUA,500000,"M/J PERS CAR SCH 1",176
01,ALACHUA,500002,"M/J PERS CAR SCH C/P",7
01,ALACHUA,500010,"M/J PERS CAR SCH 2",36
01,ALACHUA,500300,"EXEC INTERN 1",72
01,ALACHUA,500310,"EXEC INTERN 2",10
01,ALACHUA,500370,"VOL PUB SERV",333
01,ALACHUA,500500,"PERS,CAR,SCH DEV 1",329
01,ALACHUA,500510,"PERS,CAR,SCH DEV 2",143
01,ALACHUA,500520,"PERS,CAR,SCH DEV 3",10
01,ALACHUA,500530,"PERS,CAR,SCH DEV 4",2
01,ALACHUA,600000,"M/J EXPLOR WHEEL 1",92
01,ALACHUA,600020,"M/J EXPLOR WHEEL 3",13
01,ALACHUA,600030,"M/J EXPLOR WHEEL 4",52
01,ALACHUA,600050,"M/J EXPLOR WHEEL 6",9
01,ALACHUA,701000,"M/J FRENCH BEG",19
01,ALACHUA,701020,"M/J FRENCH ADV",26
01,ALACHUA,701320,"FRENCH 1",198
01,ALACHUA,701330,"FRENCH 2",102
01,ALACHUA,701340,"FRENCH 3 HON",23
01,ALACHUA,701350,"FRENCH 4 HON",1
01,ALACHUA,701360,"FRENCH 5 HON",5
01,ALACHUA,701380,"AP FRENCH LANG & CU",45
01,ALACHUA,701800,"FL PRE-IB FRENCH 1",34
01,ALACHUA,701810,"FL PRE-IB FRENCH 2",36
01,ALACHUA,701830,"IB FRENCH 4-B",35
01,ALACHUA,701840,"IB FRENCH 5-B",2
01,ALACHUA,702320,"GERMAN 1",70
01,ALACHUA,702330,"GERMAN 2",63
01,ALACHUA,702340,"GERMAN 3 HON",22
01,ALACHUA,702350,"GERMAN 4 HON",13
01,ALACHUA,705320,"ITALIAN 1",32
01,ALACHUA,705330,"ITALIAN 2",25
01,ALACHUA,705340,"ITALIAN 3 HON",5
01,ALACHUA,705350,"ITALIAN 4 HON",3
01,ALACHUA,708000,"M/J SPANISH BEG",80
01,ALACHUA,708020,"M/J SPANISH ADV",364
01,ALACHUA,708340,"SPANISH 1",765
01,ALACHUA,708350,"SPANISH 2",780
01,ALACHUA,708360,"SPANISH 3 HON",157
01,ALACHUA,708370,"SPANISH 4 HON",45
01,ALACHUA,708400,"AP SPANISH",111
01,ALACHUA,708410,"AP SPANISH LIT",30
01,ALACHUA,708530,"AICE SPANISH AL",12
01,ALACHUA,708800,"FL PRE-IB SPANISH 1",121
01,ALACHUA,708810,"FL PRE-IB SPANISH 2",95
01,ALACHUA,708830,"IB SPANISH 4-B",81
01,ALACHUA,708840,"IB SPANISH 5-B",1
01,ALACHUA,717300,"AMER SIGN LANG 1",86
01,ALACHUA,717310,"AMER SIGN LANG 2",50
01,ALACHUA,800300,"HEALTH1-LIF MGMT SKL",19
