"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",2
1,ALACHUA,REL2300,"HONORS - WORLD RELIGIONS",3
1,ALACHUA,SLS1101,ORIENTATION,23
1,ALACHUA,SLS1260,"BASIC LEADERSHIP SKILLS",3
1,ALACHUA,SLS1301,"CAREER DEVELOPMENT",12
1,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",1
1,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",9
1,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",32
1,ALACHUA,SPN1120,"FIRST-YEAR SPANISH I",12
1,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",29
1,ALACHUA,STA2023,"ELEMENTS OF STATISTICS",28
1,ALACHUA,SYG2000,SOCIOLOGY,8
1,ALACHUA,SYG2010,"HONORS SOCIAL PROBLEMS",11
1,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",33
1,ALACHUA,THE1000,"INTRODUCTION TO THEATRE(DRAMA)",5
1,ALACHUA,THE2300,"DRAMATIC LITERATURE",2
1,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",2
1,ALACHUA,TPA1232,"THEATRE COSTUMING",1
1,ALACHUA,TPA1248,"STAGE MAKEUP",5
1,ALACHUA,TPP1100,"ACTING I",7
1,ALACHUA,TPP1110,"ACTING IG ACTING",2
1,ALACHUA,TPP2231,"THEATRE ENSEMBLE",2
1,ALACHUA,WOH2022,"WORLD HISTORY",1
1,ALACHUA,WOH2040,"THE TWENTIETH CENTURY",1
1,ALACHUA,100000,"M/J ART/ART APPREC 1",130
1,ALACHUA,100010,"M/J ART/ART APPREC 2",143
1,ALACHUA,100020,"M/J ART/ART APPREC 3",96
1,ALACHUA,100310,"ART APPREC/HIS/CRI",1
1,ALACHUA,101300,"2-D ART 1",325
1,ALACHUA,101310,"2-D ART 2",289
1,ALACHUA,101330,"3-D ART 1",2
1,ALACHUA,101340,"3-D ART 2",1
1,ALACHUA,102300,"CERAM/POT 1",98
1,ALACHUA,102310,"CERAM/POT 2",29
1,ALACHUA,102320,"CERAM/POT 3 HON",5
1,ALACHUA,103340,"CPTR GRAPHIC DESIGN",7
1,ALACHUA,103350,"CPTR IMAGE PROC 1",23
1,ALACHUA,104320,"DRAW/PAINT 1",61
1,ALACHUA,104330,"DRAW/PAINT 2",20
1,ALACHUA,104380,"PAINT 2",68
1,ALACHUA,106300,"GRAPHIC DESIGN 1",58
1,ALACHUA,106310,"GRAPHIC DESIGN 2",85
1,ALACHUA,108310,"CREATIVE PHOTO 1",19
