"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
5,BREVARD,5021,"FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES",418,4,"0,00956937799"
5,BREVARD,5031,"CAPE VIEW ELEMENTARY SCHOOL",460,33,"0,07173913043"
5,BREVARD,6011,"SATELLITE SENIOR HIGH SCHOOL",1394,74,"0,05308464849"
5,BREVARD,6012,"DELAURA MIDDLE SCHOOL",782,23,"0,0294117647"
5,BREVARD,6013,"SPESSARD L. HOLLAND ELEMENTARY SCHOOL",449,15,"0,03340757238"
5,BREVARD,6051,"SEA PARK ELEMENTARY SCHOOL",362,13,"0,035911602200000003"
5,BREVARD,6061,"SURFSIDE ELEMENTARY SCHOOL",414,5,"0,01207729468"
5,BREVARD,6071,"OCEAN BREEZE ELEMENTARY SCHOOL",585,40,"0,06837606837"
5,BREVARD,6081,"INDIALANTIC ELEMENTARY SCHOOL",795,28,"0,03522012578"
5,BREVARD,6082,"HERBERT C. HOOVER MIDDLE SCHOOL",590,30,"0,05084745762"
5,BREVARD,6101,"GEMINI ELEMENTARY SCHOOL",536,21,"0,03917910447"
5,BREVARD,6141,"DR. W.J. CREEL ELEMENTARY SCHOOL",1080,79,"0,07314814814"
5,BREVARD,6501,"PALM BAY ACADEMY CHARTER SCHOOL",588,18,"0,03061224489"
5,BREVARD,6506,"CAMPUS CHARTER SCHOOL",152,9,"0,05921052631"
5,BREVARD,6507,"ODYSSEY CHARTER SCHOOL",980,54,"0,05510204081"
5,BREVARD,6508,"SCULPTOR CHARTER SCHOOL",543,21,"0,03867403314"
5,BREVARD,6509,"ROYAL PALM CHARTER SCHOOL",367,12,"0,03269754768"
5,BREVARD,6511,"EDUCATIONAL HORIZONS CHARTER",105,3,"0,02857142857"
5,BREVARD,6515,"IMAGINE SCHOOLS AT WEST MELBOURNE",224,15,"0,06696428571"
5,BREVARD,6523,"EMMA JEWEL CHARTER ACADEMY",250,30,"0,12"
5,BREVARD,6540,"VIERA CHARTER SCHOOL",691,27,"0,03907380607"
5,BREVARD,6541,"ODYSSEY PREPARATORY CHARTER ACADEMY",210,7,"0,03333333333"
5,BREVARD,7004,"BREVARD VIRTUAL FRANCHISE",91,7,"0,07692307692"
5,BREVARD,7023,"BREVARD VIRTUAL ESCHOOL",95,3,"0,03157894736"
6,BROWARD,11,"DEERFIELD BEACH ELEMENTARY SCHOOL",781,47,"0,06017925736"
6,BROWARD,21,"POMPANO BEACH MIDDLE SCHOOL",1191,125,"0,10495382031"
6,BROWARD,31,"OAKLAND PARK ELEMENTARY SCHOOL",692,36,"0,05202312138"
6,BROWARD,41,"NORTH SIDE ELEMENTARY SCHOOL",532,42,"0,07894736842"
6,BROWARD,101,"DANIA ELEMENTARY SCHOOL",629,60,"0,09538950715"
6,BROWARD,111,"HOLLYWOOD HILLS ELEMENTARY SCHOOL",786,33,"0,04198473282"
6,BROWARD,121,"HOLLYWOOD CENTRAL ELEMENTARY SCHOOL",643,30,"0,0466562986"
6,BROWARD,131,"HALLANDALE ELEMENTARY SCHOOL",1290,50,"0,03875968992"
6,BROWARD,151,"RIVERLAND ELEMENTARY SCHOOL",714,59,"0,08263305322"
6,BROWARD,161,"WEST HOLLYWOOD ELEMENTARY SCHOOL",785,63,"0,08025477707"
6,BROWARD,171,"SOUTH BROWARD HIGH SCHOOL",2209,589,"0,26663648709"
6,BROWARD,185,"POMPANO BEACH HIGH SCHOOL",1214,20,"0,01647446457"
6,BROWARD,191,"WILTON MANORS ELEMENTARY SCHOOL",678,28,"0,0412979351"
6,BROWARD,201,"BENNETT ELEMENTARY SCHOOL",501,35,"0,06986027944"
6,BROWARD,211,"STRANAHAN HIGH SCHOOL",1713,302,"0,17629889083"
6,BROWARD,221,"CROISSANT PARK ELEMENTARY SCHOOL",848,64,"0,07547169811"
6,BROWARD,231,"COLBERT ELEMENTARY SCHOOL",747,71,"0,09504685408"
6,BROWARD,241,"MCARTHUR HIGH SCHOOL",2349,654,"0,27841634738"
6,BROWARD,251,"SUNRISE MIDDLE SCHOOL",1491,118,"0,07914151576"
6,BROWARD,271,"DILLARD ELEMENTARY SCHOOL",948,123,"0,12974683544"
6,BROWARD,321,"WALKER ELEMENTARY SCHOOL (MAGNET)",710,59,"0,08309859154"
6,BROWARD,331,"COLLINS ELEMENTARY SCHOOL",350,31,"0,08857142857"
6,BROWARD,341,"BETHUNE MARY M ELEMENTARY SCHOOL",777,94,"0,12097812097"
6,BROWARD,343,"ATTUCKS MIDDLE SCHOOL",862,103,"0,11948955916"
6,BROWARD,361,"BLANCHE ELY HIGH SCHOOL",2215,675,"0,30474040632"
