"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 2 DATA AS OF 12/20/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",21
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",12
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",20
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",18
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",12
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",7
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",70
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",2
01,ALACHUA,1005375,"AICE ENG LIT 2 AL",76
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",102
01,ALACHUA,1006000,"M/J JOURN 1",21
01,ALACHUA,1006300,"JOURN 1",55
01,ALACHUA,1006310,"JOURN 2",14
01,ALACHUA,1006320,"JOURN 3",6
01,ALACHUA,1006375,"SOCIAL MEDIA 1",18
01,ALACHUA,1007300,"SPEECH 1",21
01,ALACHUA,1007330,"DEBATE 1",46
01,ALACHUA,1007340,"DEBATE 2",6
01,ALACHUA,1008010,"M/J READ 1",782
01,ALACHUA,1008020,"M/J READ 1 ADV",266
01,ALACHUA,1008040,"M/J READ 2",756
01,ALACHUA,1008050,"M/J READ 2 ADV",275
01,ALACHUA,1008070,"M/J READ 3",830
01,ALACHUA,1008080,"M/J READ 3 ADV",225
01,ALACHUA,1008300,"READ 1",13
01,ALACHUA,1008320,"READ HON",62
01,ALACHUA,1008330,"READ 3",1
01,ALACHUA,1008350,"READ COLL. SUCCESS",29
01,ALACHUA,1009050,"M/J WRITING 3",8
01,ALACHUA,1009320,"CREATIVE WRIT 1",23
01,ALACHUA,1200310,"ALG 1",1462
01,ALACHUA,1200320,"ALG 1 HON",1043
01,ALACHUA,1200330,"ALG 2",589
01,ALACHUA,1200340,"ALG 2 HON",868
01,ALACHUA,1200400,"INTENS MATH",260
01,ALACHUA,1200500,"ADV ALG W/FIN APP",128
01,ALACHUA,1200700,"MATH COLL READINESS",588
01,ALACHUA,1202300,"CALCULUS HON",32
01,ALACHUA,1202310,"AP CALCULUS AB",197
01,ALACHUA,1202320,"AP CALCULUS BC",87
01,ALACHUA,1202340,"PRE-CALCULUS HON",478
01,ALACHUA,1202352,"AICE MATH 1 AS",56
01,ALACHUA,1202375,"IB PRE-CALCULUS",116
01,ALACHUA,1202810,"IB CALCULUS/DESC STA",34
01,ALACHUA,1202820,"IB FURTHER MATH 1",2
01,ALACHUA,1202830,"IB ADV CALCULUS",49
01,ALACHUA,1204000,"M/J INTENS MATH (MC)",92
01,ALACHUA,1205010,"M/J MATH 1",1026
01,ALACHUA,1205020,"M/J MATH 1 ADV",797
01,ALACHUA,1205040,"M/J MATH 2",982
01,ALACHUA,1205050,"M/J MATH 2, ADV",884
01,ALACHUA,1205070,"M/J PRE-ALG",1037
01,ALACHUA,1206310,GEO,1121
01,ALACHUA,1206320,"GEO HON",802
01,ALACHUA,1207300,"LIB ARTS MATH 1",642
01,ALACHUA,1209800,"IB MATH STUDIES",18
01,ALACHUA,1209830,"IB MATH HL 1",2
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",159
01,ALACHUA,1210320,"AP STAT",163
01,ALACHUA,1300330,"AP MUS THEORY",8
01,ALACHUA,1300340,"MUSIC WORLD",65
01,ALACHUA,1300800,"FL PRE-IB MUSIC 1",41
01,ALACHUA,1300820,"IB MUSIC 3",8
01,ALACHUA,1300830,"IB MUSIC 4",9
01,ALACHUA,1301030,"M/J KEYBD 1",10
01,ALACHUA,1301090,"M/J EXPL MUSIC 1",11
01,ALACHUA,1301320,"GUITAR 1",63
01,ALACHUA,1301330,"GUITAR 2",5
01,ALACHUA,1301340,"GUITAR 3",1
01,ALACHUA,1301360,"KEYBD 1",111
01,ALACHUA,1301370,"KEYBD 2",9
01,ALACHUA,1301390,"KEYBD 4 HONORS",2
01,ALACHUA,1302000,"M/J BAND 1",433
01,ALACHUA,1302010,"M/J BAND 2",302
01,ALACHUA,1302020,"M/J BAND 3",348
01,ALACHUA,1302040,"M/J ORCH 1",36
01,ALACHUA,1302110,"M/J INSTRU ENS 1",5
01,ALACHUA,1302300,"BAND 1",106
01,ALACHUA,1302310,"BAND 2",53
01,ALACHUA,1302320,"BAND 3",25
01,ALACHUA,1302330,"BAND 4",9
01,ALACHUA,1302340,"BAND 5 HON",52
01,ALACHUA,1302350,"BAND 6 HON",25
01,ALACHUA,1302460,"INSTRU ENS 1",23
01,ALACHUA,1302470,"INSTRU ENS 2",13
01,ALACHUA,1302480,"INSTRU ENS 3",11
01,ALACHUA,1302490,"INSTRU ENS 4 HON",8
01,ALACHUA,1302500,"JAZZ ENS 1",11
01,ALACHUA,1302510,"JAZZ ENS 2",6
01,ALACHUA,1302520,"JAZZ ENS 3",2
01,ALACHUA,1303000,"M/J CHORUS 1",110
01,ALACHUA,1303010,"M/J CHORUS 2",10
01,ALACHUA,1303020,"M/J CHORUS 3",11
01,ALACHUA,1303300,"CHORUS 1",83
