"Students Absent 21 or More Days by School
2012-13, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,503,"WILES HEAD START",80,18,"0,225"
1,ALACHUA,510,"LAWTON M. CHILES ELEMENTARY SCHOOL",680,0,0
1,ALACHUA,520,"MEADOWBROOK ELEMENTARY SCHOOL",661,25,"0,0378214826"
1,ALACHUA,531,"NEWBERRY ELEMENTARY SCHOOL",572,31,"0,05419580419"
1,ALACHUA,541,"C. W. NORTON ELEMENTARY SCHOOL",673,28,"0,04160475482"
1,ALACHUA,561,"WILLIAM S. TALBOT ELEM SCHOOL",752,34,"0,04521276595"
1,ALACHUA,571,"W. W. IRBY ELEMENTARY SCHOOL",574,64,"0,11149825783"
1,ALACHUA,591,"OAK VIEW MIDDLE SCHOOL",725,68,"0,09379310344"
1,ALACHUA,602,"NORTH AMERICAN FAMILY INSTITUTE ALACHUA ACADEMY",39,0,0
1,ALACHUA,603,"GAINESVILLE WILDERNESS INSTITUTE",64,3,"0,046875"
1,ALACHUA,604,PACE,88,17,"0,19318181818"
1,ALACHUA,701,"ALACHUA COUNTY JAIL",19,0,0
1,ALACHUA,950,"THE ONE ROOM SCHOOL HOUSE PROJECT",193,1,"0,00518134715"
1,ALACHUA,951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",131,9,"0,06870229007"
1,ALACHUA,953,"CARING & SHARING LEARNING SCHOOL",178,2,"0,01123595505"
1,ALACHUA,955,"EINSTEIN MONTESSORI SCHOOL",121,18,"0,14876033057"
1,ALACHUA,956,"EXPRESSIONS LEARNING ARTS ACADEMY",91,4,"0,04395604395"
1,ALACHUA,957,"ALACHUA LEARNING CENTER, INC. ELEMENTARY",122,13,"0,10655737704"
1,ALACHUA,958,"GENESIS PREPARATORY SCHOOL",74,4,"0,05405405405"
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.",79,10,"0,12658227848"
1,ALACHUA,971,"HOGGETOWNE MIDDLE SCHOOL",134,5,"0,03731343283"
1,ALACHUA,981,"HEALTHY LEARNING ACADEMY CHARTER SCHOOL",87,4,"0,04597701149"
